"Date"	"Fish"	"Speed"	"Coherency"	"Response"	"Treatment"	"frame"	"zc"	"xpos"	"ypos"	"z.spd"	"z.accl"	"orientation"	"turnangle.c"	"tortuosity"	"zone"	"CDT.x"	"CDT.y"	"CDT"	"CTT"	"CTTxZONE"
2015-03-04	3	1	0.33	1	2	75	877.5+839.5i	878	840	2.784	0.0696	1.5707963267949	0	0.0231101027113397	"DECISION"	-104	706	713.618945936835	6.16666666666667	3.16666666666667
2015-03-04	3	1	0.33	1	2	76	883.5+849.5i	884	850	4.05834251881233	0.254868503762466	1.03037682652431	0.540419500270584	0.0262635787792075	"DECISION"	-98	716	722.675584200822	6.25	3.25
2015-03-04	3	1	0.33	1	2	77	886.5+858.5i	886	858	3.30141787721579	0.151384928319308	1.24904577239825	0.218668945873942	0.0272179333478644	"DECISION"	-96	724	730.336908556592	6.33333333333333	3.33333333333333
2015-03-04	3	1	0.33	1	2	78	892.5+870.5i	892	870	4.66890993701956	0.273498411960755	1.10714871779409	0.141897054604164	0.0296991620592272	"DECISION"	-90	736	741.482299181848	6.41666666666667	3.41666666666667
2015-03-04	3	1	0.33	1	2	79	897.5+877.5i	898	878	2.99360919293083	0.335060148817746	0.950546840812075	0.156601876982015	0.0322555238672685	"DECISION"	-84	744	748.726919510712	6.5	3.5
2015-03-04	3	1	0.33	1	2	80	904.5+885.5i	904	886	3.69929074283166	0.141136309980165	0.851966327173272	0.098580513638803	0.0361920469383644	"DECISION"	-78	752	756.034390752167	6.58333333333333	3.58333333333333
2015-03-04	3	1	0.33	1	2	81	913.5+888.5i	914	888	3.30141787721579	0.0795745731231741	0.321750554396642	0.53021577277663	0.0450476317070837	"DECISION"	-68	754	757.060103294316	6.66666666666667	3.66666666666667
2015-03-04	3	1	0.33	1	2	82	915.5+891.5i	916	892	1.25473184386147	0.409337206670864	0.982793723247329	0.661043168850687	0.0458406385217457	"DECISION"	-66	758	760.867925464072	6.75	3.75
2015-03-04	3	1	0.33	1	2	83	919.5+894.5i	920	894	1.74	0.0970536312277063	0.643501108793284	0.339292614454045	0.0484832644996079	"DECISION"	-62	760	762.52475369656	6.83333333333333	3.83333333333333
2015-03-04	3	1	0.33	1	2	84	925.5+897.5i	926	898	2.33445496850978	0.118890993701956	0.463647609000806	0.179853499792478	0.0532543338622136	"DECISION"	-56	764	766.049606748806	6.91666666666667	3.91666666666667
2015-03-04	3	1	0.33	1	2	85	934.5+897.5i	934	898	3.132	0.159509006298044	0	0.463647609000806	0.0644242568284631	"DECISION"	-48	764	765.506368360186	7	4
2015-03-04	3	1	0.33	1	2	86	946.5+900.5i	946	900	4.30452227314484	0.234504454628968	0.244978663126864	0.244978663126864	0.0755393122896609	"DECISION"	-36	766	766.845486392141	7.08333333333333	4.08333333333333
2015-03-04	3	1	0.33	1	2	87	955.5+900.5i	956	900	3.132	0.234504454628968	0	0.244978663126864	0.0858895446719666	"DECISION"	-26	766	766.441126245193	7.16666666666667	4.16666666666667
2015-03-04	3	1	0.33	1	2	88	964.5+903.5i	964	904	3.30141787721579	0.0338835754431575	0.321750554396642	0.321750554396642	0.0928773484151487	"DECISION"	-18	770	770.210360875521	7.25	4.25
2015-03-04	3	1	0.33	1	2	89	970.5+903.5i	970	904	2.088	0.242683575443158	0	0.321750554396642	0.0993788979979081	"DECISION"	-12	770	770.093500816622	7.33333333333333	4.33333333333333
2015-03-04	3	1	0.33	1	2	90	976.5+903.5i	976	904	2.088	0	0	0	0.105735301180889	"DECISION"	-6	770	770.023376268539	7.41666666666667	4.41666666666667
2015-03-04	3	1	0.33	1	2	91	982.5+903.5i	982	904	2.088	0	0	0	0.11194956190484	"DECISION"	0	770	770	7.5	4.5
2015-03-04	3	1	0.33	1	2	92	988.5+903.5i	988	904	2.088	0	0	0	0.118024611228459	"DECISION"	6	770	770.023376268539	7.58333333333333	4.58333333333333
2015-03-04	3	1	0.33	1	2	93	994.5+903.5i	994	904	2.088	0	0	0	0.123963309821793	"DECISION"	12	770	770.093500816622	7.66666666666667	4.66666666666667
2015-03-04	3	1	0.33	1	2	94	1006.5+903.5i	1006	904	4.176	0.4176	0	0	0.135442759747555	"DECISION"	24	770	770.373935176937	7.75	4.75
2015-03-04	3	1	0.33	1	2	95	1019.5+901.5i	1020	902	4.57722536041214	0.080245072082427	0.152649328395265	0.152649328395265	0.149657188862423	"DECISION"	38	768	768.939529482	7.83333333333333	4.83333333333333
2015-03-04	3	1	0.33	1	2	96	1030.5+900.5i	1030	900	3.84378563398117	0.146687945286194	0.0906598872007451	0.06198944119452	0.160342045508514	"DECISION"	48	766	767.502442992855	7.91666666666667	4.91666666666667
2015-03-04	3	1	0.33	1	2	97	1036.5+900.5i	1036	900	2.088	0.351157126796233	0	0.0906598872007451	0.165375595996861	"DECISION"	54	766	767.901035290356	8	5
2015-03-04	3	1	0.33	1	2	98	1042.5+900.5i	1042	900	2.088	0	0	0	0.170293572066842	"DECISION"	60	766	768.346276102123	8.08333333333333	5.08333333333333
2015-03-04	3	1	0.33	1	2	99	1048.5+900.5i	1048	900	2.088	0	0	0	0.175098293930976	"DECISION"	66	766	768.838084384482	8.16666666666667	5.16666666666667
2015-03-04	3	1	0.33	1	2	100	1054.5+900.5i	1054	900	2.088	0	0	0	0.179792031233965	"DECISION"	72	766	769.376370835497	8.25	5.25
2015-03-04	3	1	0.33	1	2	101	1066.5+900.5i	1066	900	4.176	0.4176	0	0	0.188855386954099	"DECISION"	84	766	770.591980233379	8.33333333333333	5.33333333333333
2015-03-04	3	1	0.33	1	2	102	1078.5+900.5i	1078	900	4.176	0	0	0	0.197500841207697	"DECISION"	96	766	771.992227940152	8.41666666666667	5.41666666666667
2015-03-04	3	1	0.33	1	2	103	1089.5+901.5i	1090	902	3.84378563398117	0.0664428732037668	0.0906598872007451	0.0906598872007451	0.204092366739824	"DECISION"	108	768	775.556574338713	8.5	5.5
2015-03-06	9	1	0.33	0	2	1	975.5+138.5i	976	138	NA	NA	NA	NA	NA	"HOLDING"	0	0	0	0	0
2015-03-06	9	1	0.33	0	2	2	970.5+159.5i	970	160	7.51228753443317	NA	1.8045395076638	NA	0	"HOLDING"	-6	22	22.8035085019828	0.0833333333333333	0.0833333333333333
2015-03-06	9	1	0.33	0	2	3	964.5+180.5i	964	180	7.60043472440886	0.0176294379951385	1.84909598580001	0.04455647813621	0.000248141261215751	"HOLDING"	-12	42	43.6806593356831	0.166666666666667	0.166666666666667
2015-03-06	9	1	0.33	0	2	4	958.5+201.5i	958	202	7.60043472440886	0	1.84909598580001	0	0.00021971170971713	"HOLDING"	-18	64	66.4830805543786	0.25	0.25
2015-03-06	9	1	0.33	0	2	5	952.5+222.5i	952	222	7.60043472440886	0	1.84909598580001	0	0.000185019345383397	"HOLDING"	-24	84	87.3613186713662	0.333333333333333	0.333333333333333
2015-03-06	9	1	0.33	0	2	6	946.5+243.5i	946	244	7.60043472440886	0	1.84909598580001	0	0.000157697540466906	"HOLDING"	-30	106	110.163514831363	0.416666666666667	0.416666666666667
2015-03-06	9	1	0.33	0	2	7	946.5+261.5i	946	262	6.264	0.267286944881772	1.5707963267949	0.278299659005111	0.00453638391248679	"HOLDING"	-30	124	127.577427470536	0.5	0.5
2015-03-06	9	1	0.33	0	2	8	943.5+285.5i	944	286	8.41699708922368	0.430599417844737	1.69515132134166	0.124354994546761	0.00458162817225116	"HOLDING"	-32	148	151.419945845982	0.583333333333333	0.583333333333333
2015-03-06	9	1	0.33	0	2	9	943.5+309.5i	944	310	8.352	0.0129994178447369	1.5707963267949	0.124354994546761	0.00666192534362631	"HOLDING"	-32	172	174.951421829032	0.666666666666667	0.666666666666667
2015-03-06	9	1	0.33	0	2	10	952.5+348.5i	952	348	13.9286972829479	1.11533945658958	1.34399747874101	0.226798848053886	0.0181462445336461	"HOLDING"	-24	210	211.366979445702	0.75	0.75
2015-03-06	9	1	0.33	0	2	11	961.5+384.5i	962	384	12.9135668194345	0.203026092702675	1.32581766366803	0.0181798150729782	0.0232689614385435	"HOLDING"	-14	246	246.398051940351	0.833333333333333	0.833333333333333
2015-03-06	9	1	0.33	0	2	12	961.5+420.5i	962	420	12.528	0.0771133638869028	1.5707963267949	0.244978663126864	0.0205390907924284	"HOLDING"	-14	282	282.347303865293	0.916666666666667	0.916666666666667
2015-03-06	9	1	0.33	0	2	13	949.5+468.5i	950	468	17.2180890925794	0.93801781851587	1.81577498992176	0.244978663126864	0.0199045755849272	"DECISION"	-26	330	331.022657834777	1	0
2015-03-06	9	1	0.33	0	2	14	940.5+516.5i	940	516	16.9950887023281	0.0446000780502516	1.75614427679059	0.0596307131311693	0.0180165881266748	"DECISION"	-36	378	379.710415975122	1.08333333333333	0.0833333333333333
2015-03-06	9	1	0.33	0	2	15	931.5+552.5i	932	552	12.9135668194345	0.816304376578716	1.81577498992176	0.0596307131311693	0.0173668332543097	"DECISION"	-44	414	416.331598608609	1.16666666666667	0.166666666666667
2015-03-06	9	1	0.33	0	2	16	913.5+592.5i	914	592	15.2644716908251	0.470180974278111	1.99365025292784	0.177875263006076	0.0199747299887019	"DECISION"	-62	454	458.213923839073	1.25	0.25
2015-03-06	9	1	0.33	0	2	17	901.5+630.5i	902	630	13.8677017562392	0.279353986917172	1.87667519819975	0.116975054728089	0.0194499709291397	"DECISION"	-74	492	497.533918441748	1.33333333333333	0.333333333333333
2015-03-06	9	1	0.33	0	2	18	892.5+669.5i	892	670	13.9286972829479	0.0121991053417364	1.79759517484878	0.0790800233509663	0.0182310959070729	"DECISION"	-84	532	538.590753726798	1.41666666666667	0.416666666666667
2015-03-06	9	1	0.33	0	2	19	883.5+705.5i	884	706	12.9135668194345	0.203026092702675	1.81577498992176	0.0181798150729784	0.0173136995340213	"DECISION"	-92	568	575.402467843161	1.5	0.5
2015-03-06	9	1	0.33	0	2	20	853.5+741.5i	854	742	16.3078013232931	0.678846900771716	2.2655346029916	0.449759613069839	0.025624883720416	"DECISION"	-122	604	616.198020120156	1.58333333333333	0.583333333333333
2015-03-06	9	1	0.33	0	2	21	836.5+768.5i	836	768	11.1033270689465	1.04089485086932	2.13271788905171	0.132816713939888	0.0273653380548549	"DECISION"	-140	630	645.368112010502	1.66666666666667	0.666666666666667
2015-03-06	9	1	0.33	0	2	22	817.5+795.5i	818	796	11.4892715173765	0.0771888896860105	2.18400367566941	0.0512857866176941	0.0295656841735594	"DECISION"	-158	658	676.703775665542	1.75	0.75
2015-03-06	9	1	0.33	0	2	23	802.5+813.5i	802	814	8.15390066164655	0.667074171146	2.2655346029916	0.081530927322194	0.0318614963200549	"DECISION"	-174	676	698.034383107308	1.83333333333333	0.833333333333333
2015-03-06	9	1	0.33	0	2	24	778.5+828.5i	778	828	9.8490763018671	0.33903512804411	2.58299333824623	0.317458735254631	0.0407454474906049	"DECISION"	-198	690	717.846780309002	1.91666666666667	0.916666666666667
2015-03-06	9	1	0.33	0	2	25	754.5+843.5i	754	844	9.8490763018671	0	2.58299333824623	0	0.0483359586775067	"DECISION"	-222	706	740.08107663958	2	1
2015-03-06	13	1	0.33	1	2	1	913.5+134.5i	914	134	NA	NA	NA	NA	NA	"HOLDING"	0	0	0	0	0
2015-03-06	13	1	0.33	1	2	2	922.5+144.5i	922	144	4.68186116838165	NA	0.83798122500839	NA	0	"HOLDING"	8	10	12.8062484748657	0.0833333333333333	0.0833333333333333
2015-03-06	13	1	0.33	1	2	3	931.5+156.5i	932	156	5.22	0.10762776632367	0.927295218001612	0.0893139929932222	0.000994011867280209	"HOLDING"	18	22	28.4253408071038	0.166666666666667	0.166666666666667
2015-03-06	13	1	0.33	1	2	4	940.5+168.5i	940	168	5.22	0	0.927295218001612	0	0.000852342139490259	"HOLDING"	26	34	42.8018691180654	0.25	0.25
2015-03-06	13	1	0.33	1	2	5	952.5+177.5i	952	178	5.22	0	0.643501108793284	0.283794109208328	0.0068759287182959	"HOLDING"	38	44	58.1377674149945	0.333333333333333	0.333333333333333
2015-03-06	13	1	0.33	1	2	6	970.5+192.5i	970	192	8.15390066164655	0.58678013232931	0.694738276196703	0.0512371674034188	0.00688799215242941	"HOLDING"	56	58	80.6225774829855	0.416666666666667	0.416666666666667
2015-03-06	13	1	0.33	1	2	7	982.5+204.5i	982	204	5.90575583647004	0.449628965035301	0.785398163397448	0.0906598872007451	0.00571089057898166	"HOLDING"	68	70	97.5909831900468	0.5	0.5
2015-03-06	13	1	0.33	1	2	8	994.5+216.5i	994	216	5.90575583647004	0	0.785398163397448	0	0.00487737351886963	"HOLDING"	80	82	114.560027932957	0.583333333333333	0.583333333333333
2015-03-06	13	1	0.33	1	2	9	1003.5+225.5i	1004	226	4.42931687735253	0.295287791823502	0.785398163397448	0	0.00439614844018543	"HOLDING"	90	92	128.701204345569	0.666666666666667	0.666666666666667
2015-03-06	13	1	0.33	1	2	10	1009.5+237.5i	1010	238	4.66890993701956	0.0479186119334056	1.10714871779409	0.321750554396642	0.00823097489923996	"HOLDING"	96	104	141.534448103633	0.75	0.75
2015-03-06	13	1	0.33	1	2	11	1018.5+249.5i	1018	250	5.22	0.110218012596088	0.927295218001612	0.179853499792478	0.00793600583022358	"HOLDING"	104	116	155.794736753204	0.833333333333333	0.833333333333333
2015-03-06	13	1	0.33	1	2	12	1027.5+264.5i	1028	264	6.08751377821849	0.173502755643699	1.03037682652431	0.1030816085227	0.00893077059734693	"HOLDING"	114	130	172.904597972408	0.916666666666667	0.916666666666667
2015-03-06	13	1	0.33	1	2	13	1033.5+273.5i	1034	274	3.7641955315844	0.464663649326818	0.982793723247329	0.0475831032769835	0.00888686392666926	"HOLDING"	120	140	184.390889145858	1	1
2015-03-06	13	1	0.33	1	2	14	1039.5+285.5i	1040	286	4.66890993701956	0.180942881087031	1.10714871779409	0.124354994546761	0.0102219431498204	"HOLDING"	126	152	197.433533119377	1.08333333333333	1.08333333333333
2015-03-06	13	1	0.33	1	2	15	1042.5+297.5i	1042	298	4.30452227314484	0.0728775327749448	1.32581766366803	0.218668945873942	0.0151370905811974	"HOLDING"	128	164	208.038457983133	1.16666666666667	1.16666666666667
2015-03-06	13	1	0.33	1	2	16	1042.5+315.5i	1042	316	6.264	0.391895545371032	1.5707963267949	0.244978663126864	0.0296835134661328	"HOLDING"	128	182	222.503932549517	1.25	1.25
